"Unidades locais en Galicia segundo actividade principal (divisións CNAE 2009)";""
"";""
"Unidade: Número de unidades locais";""
"Variables en filas: CNAE 2009, Espazo";""
"Variables en columnas: Tempo";""
"";"2024"
"Total [+]";""
"15006 Arzúa";"524"
"15010 Boimorto";"108"
"15066 Pino, O";"328"
"15085 Touro";"168"
"15011 Boiro";"1.393"
"15067 Pobra do Caramiñal, A";"628"
"15072 Rianxo";"625"
"15073 Ribeira";"1.851"
"15007 Baña, A";"155"
"15056 Negreira";"538"
"15014 Cabana de Bergantiños";"275"
"15019 Carballo";"2.850"
"15029 Coristanco";"360"
"15041 Laracha, A";"728"
"15040 Laxe";"226"
"15043 Malpica de Bergantiños";"413"
"15068 Ponteceso";"442"
"15003 Aranga";"110"
"15009 Betanzos";"1.149"
"15026 Cesuras";"-"
"15027 Coirós";"124"
"15032 Curtis";"403"
"15039 Irixoa";"64"
"15048 Miño";"456"
"15063 Oza dos Ríos";"-"
"15902 Oza Cesuras";"282"
"15064 Paderne";"144"
"15091 Vilarmaior";"67"
"15090 Vilasantar";"79"
"15001 Abegondo";"370"
"15005 Arteixo";"2.391"
"15008 Bergondo";"959"
"15017 Cambre";"1.815"
"15021 Carral";"473"
"15030 Coruña, A";"24.438"
"15031 Culleredo";"2.284"
"15058 Oleiros";"2.657"
"15075 Sada";"1.238"
"15015 Cabanas";"228"
"15018 Capela, A";"64"
"15050 Monfero";"108"
"15069 Pontedeume";"520"
"15070 Pontes de García Rodríguez, As";"725"
"15004 Ares";"297"
"15022 Cedeira";"527"
"15035 Fene";"696"
"15036 Ferrol";"4.203"
"15049 Moeche";"98"
"15051 Mugardos";"266"
"15054 Narón";"2.351"
"15055 Neda";"240"
"15076 San Sadurniño";"152"
"15081 Somozas, As";"69"
"15087 Valdoviño";"337"
"15023 Cee";"720"
"15028 Corcubión";"111"
"15034 Dumbría";"161"
"15037 Fisterra";"332"
"15052 Muxía";"329"
"15020 Carnota";"248"
"15053 Muros";"534"
"15042 Lousame";"145"
"15057 Noia";"1.122"
"15062 Outes";"399"
"15071 Porto do Son, O";"562"
"15024 Cerceda";"394"
"15038 Frades";"134"
"15047 Mesía";"134"
"15059 Ordes";"1.045"
"15060 Oroso";"536"
"15084 Tordoia";"156"
"15086 Trazo";"151"
"15901 Cariño";"297"
"15025 Cerdido";"65"
"15044 Mañón";"77"
"15061 Ortigueira";"423"
"15002 Ames";"2.520"
"15012 Boqueixón";"320"
"15013 Brión";"400"
"15078 Santiago de Compostela";"11.504"
"15082 Teo";"1.169"
"15088 Val do Dubra";"254"
"15089 Vedra";"322"
"15033 Dodro";"121"
"15065 Padrón";"863"
"15074 Rois";"233"
"15046 Melide";"833"
"15079 Santiso";"79"
"15080 Sobrado";"109"
"15083 Toques";"58"
"15016 Camariñas";"412"
"15092 Vimianzo";"657"
"15093 Zas";"405"
"15045 Mazaricos";"278"
"15077 Santa Comba";"828"
"27901 Baralla";"193"
"27006 Becerreá";"230"
"27012 Cervantes";"59"
"27034 Navia de Suarna";"75"
"27037 Nogais, As";"60"
"27045 Pedrafita do Cebreiro";"68"
"27009 Carballedo";"130"
"27016 Chantada";"795"
"27060 Taboada";"160"
"27004 Baleira";"71"
"27018 Fonsagrada, A";"227"
"27035 Negueira de Muñiz";"16"
"27011 Castroverde";"193"
"27014 Corgo, O";"236"
"27020 Friol";"240"
"27023 Guntín";"130"
"27028 Lugo";"9.128"
"27039 Outeiro de Rei";"338"
"27049 Portomarín";"141"
"27056 Rábade";"192"
"27002 Alfoz do Castrodouro";"104"
"27902 Burela";"753"
"27019 Foz";"802"
"27027 Lourenzá";"203"
"27030 Mondoñedo";"328"
"27063 Valadouro, O";"119"
"27013 Cervo";"227"
"27038 Ourol";"41"
"27064 Vicedo, O";"82"
"27066 Viveiro";"1.137"
"27025 Xove";"194"
"27005 Barreiros";"272"
"27048 Pontenova, A";"229"
"27051 Ribadeo";"1.014"
"27061 Trabada";"64"
"27029 Meira";"207"
"27046 Pol";"78"
"27053 Ribeira de Piquín, A";"20"
"27054 Riotorto";"88"
"27017 Folgoso do Courel";"64"
"27050 Quiroga";"239"
"27052 Ribas de Sil";"62"
"27024 Incio, O";"80"
"27026 Láncara";"184"
"27042 Paradela";"108"
"27043 Páramo, O";"48"
"27055 Samos";"76"
"27057 Sarria";"1.353"
"27062 Triacastela";"62"
"27001 Abadín";"124"
"27007 Begonte";"189"
"27010 Castro de Rei";"344"
"27015 Cospeito";"291"
"27022 Guitiriz";"376"
"27033 Muras";"39"
"27044 Pastoriza";"183"
"27065 Vilalba";"1.175"
"27021 Xermade";"75"
"27008 Bóveda";"86"
"27031 Monforte de Lemos";"1.550"
"27041 Pantón";"149"
"27047 Pobra do Brollón, A";"94"
"27058 Saviñao, O";"240"
"27059 Sober";"160"
"27003 Antas de Ulla";"111"
"27032 Monterroso";"307"
"27040 Palas de Rei";"318"
"32001 Allariz";"556"
"32007 Baños de Molgas";"78"
"32043 Maceda";"221"
"32055 Paderne de Allariz";"60"
"32036 Xunqueira de Ambía";"88"
"32037 Xunqueira de Espadanedo";"44"
"32006 Bande";"93"
"32030 Entrimo";"84"
"32041 Lobeira";"28"
"32042 Lobios";"95"
"32051 Muíños";"66"
"32011 Beariz";"29"
"32013 Boborás";"87"
"32019 Carballiño, O";"1.436"
"32035 Irixo, O";"69"
"32045 Maside";"203"
"32061 Piñor";"68"
"32065 Punxín";"27"
"32074 San Amaro";"51"
"32076 San Cristovo de Cea";"163"
"32005 Baltar";"50"
"32012 Blancos, Os";"33"
"32016 Calvos de Randín";"23"
"32062 Porqueira";"21"
"32067 Rairiz de Veiga";"53"
"32077 Sandiás";"58"
"32078 Sarreaus";"40"
"32082 Trasmiras";"70"
"32089 Vilar de Barrio";"62"
"32090 Vilar de Santos";"56"
"32032 Xinzo de Limia";"924"
"32002 Amoeiro";"151"
"32008 Barbadás";"629"
"32026 Coles";"231"
"32031 Esgos";"46"
"32052 Nogueira de Ramuín";"113"
"32054 Ourense";"9.837"
"32058 Pereiro de Aguiar, O";"398"
"32059 Peroxa, A";"72"
"32075 San Cibrao das Viñas";"977"
"32079 Taboadela";"114"
"32081 Toén";"105"
"32087 Vilamarín";"129"
