SECCIÓN;CÓDIGO DA TIPOLOXÍA DE ENTIDADE;TIPOLOXÍA DA ENTIDADE;NÚMERO DE REXISTRO;NOME;ENDEREZO;CAPITAL OU SEDE DA ENTIDADE;CÓDIGO POSTAL;CÓDIGO INE DA PROVINCIA;PROVINCIA;CÓDIGO INE DO CONCELLO;CONCELLO;DATA DE INSCRICIÓN NO REXISTRO;SUPERFICIE
Entidade local non territorial;CO;Consorcio local;2000/001;CONSORCIO LOCAL OS PEARES;CENTRO SAÚDE DO MUNICIPIO DA PEROXA;NON CONSTA;27000;27;LUGO;;;20/06/2000;0,00;
Entidade local non territorial;CO;Consorcio local;2000/004;CONSORCIO RIO ARNOIA;ESTRADA DE CELANOVA,Nº 3;NON CONSTA;32830;32;OURENSE;;;14/07/2000;0,00;
Entidade local non territorial;CO;Consorcio local;2000/005;S.C.I.  COMARCAS DO DEZA-TABEIROS-TERRA DE MONTES;PARQUE DE BOMBEIROS;PARQUE CONTRA INCENDIOS E DE SALVAMENTO DE SILLEDA;36540;36;PONTEVEDRA;;;14/07/2000;0,00;
Entidade local non territorial;CO;Consorcio local;2000/006;CONSORCIO AS MARIÑAS;LUGAR DE BOS, NAVES O CARBALLAL, Nº 4;GUISAMO-BERGONDO (A CORUÑA);15640;15;A CORUÑA;;;11/10/2000;0,00;
Entidade local non territorial;CO;Consorcio local;2000/007;CONSORCIO RIO BARBANTIÑO;PENA-REÁDEGOS;NON CONSTA;32012;32;OURENSE;;;13/12/2000;0,00;
Entidade local non territorial;CO;Consorcio local;2001/003;CONSORCIO PARA LA PROMOCIÓN DE LA MÚSICA;GLORIETA DE AMÉRICA,3;A CORUÑA;15004;15;A CORUÑA;;;19/02/2001;0,00;
Entidade local non territorial;CO;Consorcio local;2001/004;CONSORCIO DE TURISMO;AVENIDA DE LA MARINA, 18 - CASA PAREDES - 15001 - A CORUÑA;A CORUÑA;15001;15;A CORUÑA;;;04/10/2001;0,00;
Entidade local non territorial;CO;Consorcio local;2002/001;CONSORCIO PROV. DA CORUÑA PARA PRESTACION DO SERVICIO CONTRA INCENDIOS E SALVAME;PARQUE BOMBEIROS DE CARBALLO, POLIGONO INDUSTRIAL DE BERTOA S/N.;CARBALLO;15100;15;A CORUÑA;;;31/10/2002;0,00;
Entidade local non territorial;CO;Consorcio local;2005/001;CONSORCIO PARA O ABASTECEMENTO DE AUGA AOS CONCELLOS DE CERVO E BURELA;PRAZA DO CONCELLO, S/N;CERVO;27891;27;LUGO;;;31/03/2005;0,00;
Entidade local non territorial;CO;Consorcio local;2005/002;CONSORCIO TURISMO RIBEIRA SACRA;CHANTADA;CHANTADA;27001;27;LUGO;;;15/06/2005;0,00;
Entidade local non territorial;CO;Consorcio local;2005/003;CONSORCIO CASCO VELLO DE VIGO;CONCELLO DE VIGO;CONCELLO DE VIGO;36202;36;PONTEVEDRA;;;17/03/2005;0,00;
Entidade local non territorial;CO;Consorcio local;2005/004;CONSORCIO URBANISTICO XESTION SOLO CONCELLO DE COVELO;DEPUTACION PROVINCIAL DE PONTEVEDRA;DEPUTACION PROVINCIAL DE PONTEVEDRA;36000;36;PONTEVEDRA;;;04/08/2005;0,00;
Entidade local non territorial;CO;Consorcio local;2009/001;CONSORCIO PROVINCIAL DE LUGO PARA PREST. DO SERV. CONTRA INCENDIOS E SALVAMENTO;RONDA DA MURALLA, 140 (PROVISIONAL);LUGO;27004;27;LUGO;;;23/03/2009;0,00;
Entidade local non territorial;CO;Consorcio local;2009/002;CONSORCIO DO NOROESTE;MUÑOZ CALERO,3;CARBALLEDA DE AVIA;32412;32;OURENSE;;;04/09/2009;0,00;
Entidade local non territorial;CO;Consorcio local;2010/001;CONSORCIO TURISTICO DE VALDEORRAS;PRAZA DO CONCELLO, 2;O BARCO DE VALDEORRAS;32300;32;OURENSE;;;27/12/2010;0,00;
Entidade local non territorial;CO;Consorcio local;2011/001;CONSORCIO PROVINCIAL DE PONTEVEDRA PARA A PRESTACION DO SERVIZO CONTRA INCENDIOS;PRAZA DE MONTERO RIOS, S/N;PONTEVEDRA;36071;36;PONTEVEDRA;;;03/08/2011;0,00;
Entidade local non territorial;CO;Consorcio local;2012/001;CONSORCIO DE AUGAS DE VALDEORRAS;CASA DO RIO CIGUEÑO, VEIGUIÑA 6;BARCO DE VALDEORRAS;32300;32;OURENSE;;;16/11/2012;0,00;
Entidade local non territorial;CO;Consorcio local;2013/001;CONSORCIO PAR A XESITON DO CICLO URBANO DA AUGA DO LOURO;CAMIÑO DA VEIGA, S/N;TUI;36600;36;PONTEVEDRA;;;04/10/2013;0,00;
Entidade local non territorial;CO;Consorcio local;2014/001;CONSORCIO CONCA DO LEREZ;PRAZA DO CONCELLO, 1;CERDEDO;36130;36;PONTEVEDRA;;;03/03/2014;0,00;
Entidade local non territorial;CO;Consorcio local;2014/002;CONSORCIO PROVINCIAL DE PONTEVEDRA PARA PRESTACION DO SERVIZO CONTRA INCENDIOS E;MONTERO RIOS, S/N PAZO DEPUTACION PROVINCIAL;PONTEVEDRA;36071;36;PONTEVEDRA;;;07/03/2011;0,00;
Entidade local non territorial;CO;Consorcio local;2018/001;CONSORCIO PROVINCIAL OURENSE PRESTACION SERVIZO CONTRAINCENDIOS E SALVAMENTO;RUA PROGRESO, 32;OURENSE;32001;32;OURENSE;;;06/02/2018;0,00;
Entidade local non territorial;ELM;Entidade local menor;2000/001;ENTIDADE LOCAL MENOR BEMBRIVE;PRAZA DO MOSTEIRO, Nº 1 - BEMBRIVE;NON CONSTA;36313;36;PONTEVEDRA;;;25/05/2000;0,00;
Entidade local non territorial;ELM;Entidade local menor;2000/002;ENTIDADE LOCAL MENOR CAMPOSANCOS;PRAZA DE ESPAÑA,1;NON CONSTA;36780;36;PONTEVEDRA;;;26/10/2000;0,00;
Entidade local non territorial;ELM;Entidade local menor;2000/003;ENTIDADE LOCAL MENOR DE MORGADÁNS;BARRIO DA PEDRA,1;MORGADÁNS- GONDOMAR;36389;36;PONTEVEDRA;36021;GONDOMAR;11/03/2000;1350,00;
Entidade local non territorial;ELM;Entidade local menor;2000/004;ENTIDADE LOCAL MENOR ARCOS DA CONDESA;C/ FERREIRA,1;SAN MARTIÑO-CALDAS DE REIS;36650;36;PONTEVEDRA;;;06/11/2000;760,00;
Entidade local non territorial;ELM;Entidade local menor;2000/005;ENTIDADE LOCAL MENOR CHENLO;AS CALES-CHENLO;AS CALES;36400;36;PONTEVEDRA;;;10/11/2000;10,00;
Entidade local non territorial;ELM;Entidade local menor;2000/006;ENTIDADE LOCAL MENOR DE QUEIMADELOS;QUEIMADELOS;QUEIMADELOS;36870;36;PONTEVEDRA;;;10/11/2000;2,12;
Entidade local non territorial;ELM;Entidade local menor;2000/007;ENTIDADE LOCAL MENOR VILASOBROSO;VILASOBROSO;VILASOBROSO-MONDARIZ;36870;36;PONTEVEDRA;;;13/11/2000;5,17;
Entidade local non territorial;ELM;Entidade local menor;2000/008;ENTIDADE LOCAL MENOR DE PAZOS DE REIS;EDIFICIO ADMINISTRATIVO A MACOCA;A MACOCA- PAZOS DE REIS;36715;36;PONTEVEDRA;36055;TUI;19/12/2000;0,00;
Entidade local non territorial;ELM;Entidade local menor;2001/001;ENTIDADE LOCAL MENOR DE BERÁN;C/GABINO BUGALLAL,39;NON CONSTA;32420;32;OURENSE;32040;LEIRO;01/02/2001;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/001;MANCOMUNIDADE MUNICIPIOS DA COMARCA DE ORDES;RUA XENERAL MOLA (EDIF. COMARCAL XUNTA);ORDES;15680;15;A CORUÑA;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/002;MANCOMUNIDADE DE CONCELLOS SANTA AGUEDA;A PENA-READEGOS;VILAMARIN;32100;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/003;MANCOMUNIDADE DE CONCELLOS  SERRA DO BARBANZA;CASA DO CONCELLO-CARBALLEIRA DE SANTA MINIA;BRION-ROTATIVA;15865;15;A CORUÑA;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/004;MANCOMUNIDADE INTERMUNICIPAL VOLUNTARIA DO RIBEIRO;FONDAL DE BEADE, S/N;BEADE;32431;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/005;MANCOMUNIDAD VOLUNTARIOS DA COMARCA DE OURENSE;C/ JOSÉ ANTONIO, S/N;MACEDA;32700;32;OURENSE;;;20/06/2000;0,00;
Entidade local non territorial;MC;Mancomunidade;2000/006;MANCOMUNIDADE VOLUNTARIA DAS TERRAS DO NAVEA-BIBEI;PASEO DE SAN ROQUE, 4, 1º;POBRA DE TRIVES;32780;32;OURENSE;;;20/06/2000;0,00;
