"Porcentaxe de poboación estranxeira, por sexo. Galicia, provincias, comarcas e concellos";""
"";""
"Unidade: Porcentaxe";""
"Variables en filas: Tempo, Espazo";""
"Variables en columnas: Sexo";""
"Variables de corte: Indicador=Porcentaxe de poboación estranxeira";""
"";"Total"
"2022";""
"15001 Abegondo";"1,59"
"15002 Ames";"5,37"
"15003 Aranga";"1,96"
"15004 Ares";"2,65"
"15005 Arteixo";"5,88"
"15006 Arzúa";"4,03"
"15007 Baña, A";"0,54"
"15008 Bergondo";"2,32"
"15009 Betanzos";"5,27"
"15010 Boimorto";"3,06"
"15011 Boiro";"2,83"
"15012 Boqueixón";"1,48"
"15013 Brión";"2,80"
"15014 Cabana de Bergantiños";"0,86"
"15015 Cabanas";"2,00"
"15016 Camariñas";"2,24"
"15017 Cambre";"3,91"
"15018 Capela, A";"2,12"
"15019 Carballo";"2,52"
"15901 Cariño";"3,73"
"15020 Carnota";"1,48"
"15021 Carral";"4,01"
"15022 Cedeira";"6,13"
"15023 Cee";"2,79"
"15024 Cerceda";"3,18"
"15025 Cerdido";"4,25"
"15026 Cesuras";"-"
"15027 Coirós";"1,88"
"15028 Corcubión";"2,27"
"15029 Coristanco";"1,33"
"15030 Coruña, A";"6,31"
"15031 Culleredo";"4,86"
"15032 Curtis";"4,85"
"15033 Dodro";"1,04"
"15034 Dumbría";"1,19"
"15035 Fene";"1,48"
"15036 Ferrol";"3,57"
"15037 Fisterra";"3,94"
"15038 Frades";"1,01"
"15039 Irixoa";"1,06"
"15041 Laracha, A";"2,81"
"15040 Laxe";"2,05"
"15042 Lousame";"0,81"
"15043 Malpica de Bergantiños";"1,91"
"15044 Mañón";"3,74"
"15045 Mazaricos";"0,66"
"15046 Melide";"4,44"
"15047 Mesía";"1,14"
"15048 Miño";"3,99"
"15049 Moeche";"2,01"
"15050 Monfero";"2,73"
"15051 Mugardos";"1,13"
"15053 Muros";"1,55"
"15052 Muxía";"2,18"
"15054 Narón";"2,68"
"15055 Neda";"1,49"
"15056 Negreira";"3,79"
"15057 Noia";"2,79"
"15058 Oleiros";"4,34"
"15059 Ordes";"5,04"
