"Series históricas de poboación. Poboación para Galicia, provincias, comarcas e concellos";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Variables en filas: Espazo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Variables en columnas: Tempo";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"15006 Arzúa";"6.886";"6.832";"6.776";"6.676";"6.632";"6.602";"6.532";"6.529";"6.484";"6.490";"6.409";"6.328";"6.315";"6.276";"6.261";"6.219";"6.211";"6.123";"6.053";"6.041";"6.011";"5.964";"5.918";"5.905";"5.892";"5.931"
"15010 Boimorto";"2.598";"2.582";"2.551";"2.500";"2.486";"2.461";"2.410";"2.370";"2.348";"2.288";"2.271";"2.211";"2.200";"2.154";"2.115";"2.125";"2.111";"2.040";"2.022";"1.985";"1.959";"1.943";"1.890";"1.847";"1.800";"1.804"
"15066 Pino, O";"4.934";"4.945";"5.016";"4.948";"4.940";"4.901";"4.885";"4.832";"4.782";"4.710";"4.718";"4.743";"4.732";"4.708";"4.680";"4.706";"4.653";"4.644";"4.656";"4.641";"4.652";"4.639";"4.576";"4.546";"4.578";"4.588"
"15085 Touro";"4.865";"4.825";"4.765";"4.699";"4.634";"4.532";"4.448";"4.353";"4.266";"4.230";"4.151";"4.082";"3.979";"3.919";"3.853";"3.778";"3.703";"3.693";"3.620";"3.574";"3.516";"3.495";"3.451";"3.389";"3.399";"3.339"
"15011 Boiro";"18.038";"18.074";"18.064";"18.241";"18.302";"18.469";"18.554";"18.547";"18.730";"18.883";"19.076";"19.106";"19.165";"19.144";"19.060";"18.950";"18.871";"18.885";"18.844";"18.838";"18.884";"18.955";"18.976";"18.950";"18.998";"18.958"
"15067 Pobra do Caramiñal, A";"9.955";"10.035";"10.006";"10.010";"9.992";"9.951";"10.001";"9.923";"9.934";"9.878";"9.858";"9.726";"9.664";"9.646";"9.672";"9.623";"9.525";"9.440";"9.390";"9.338";"9.318";"9.291";"9.290";"9.216";"9.181";"9.122"
"15072 Rianxo";"11.882";"11.780";"11.747";"11.629";"11.582";"11.528";"11.246";"11.554";"11.578";"11.769";"11.826";"11.780";"11.729";"11.598";"11.479";"11.386";"11.295";"11.188";"11.104";"11.033";"11.013";"11.004";"10.949";"10.864";"10.759";"10.755"
"15073 Ribeira";"26.478";"26.434";"26.343";"26.589";"26.623";"26.884";"27.053";"27.181";"27.430";"27.518";"27.504";"27.699";"27.778";"27.811";"27.565";"27.372";"27.249";"27.159";"27.067";"26.886";"26.848";"26.839";"26.897";"27.009";"27.030";"27.110"
"15007 Baña, A";"5.324";"5.230";"5.141";"5.036";"4.888";"4.802";"4.652";"4.673";"4.528";"4.415";"4.320";"4.102";"3.967";"3.849";"3.754";"3.698";"3.645";"3.541";"3.505";"3.450";"3.415";"3.389";"3.333";"3.337";"3.299";"3.239"
"15056 Negreira";"6.588";"6.570";"6.573";"6.529";"6.497";"6.519";"6.481";"6.453";"6.573";"6.941";"7.029";"7.077";"7.079";"7.091";"7.009";"6.936";"6.911";"6.883";"6.877";"6.827";"6.788";"6.775";"6.811";"6.903";"6.942";"6.963"
"15014 Cabana de Bergantiños";"5.733";"5.689";"5.592";"5.447";"5.354";"5.294";"5.199";"5.091";"5.045";"4.985";"4.909";"4.865";"4.759";"4.716";"4.623";"4.552";"4.446";"4.347";"4.337";"4.248";"4.216";"4.185";"4.195";"4.131";"4.099";"4.068"
"15019 Carballo";"28.271";"28.497";"28.527";"28.949";"29.521";"29.689";"29.985";"30.091";"30.653";"30.990";"31.149";"31.303";"31.358";"31.366";"31.288";"31.283";"31.256";"31.195";"31.261";"31.349";"31.429";"31.414";"31.432";"31.394";"31.573";"32.095"
"15029 Coristanco";"8.146";"8.098";"8.001";"7.860";"7.765";"7.646";"7.582";"7.528";"7.376";"7.285";"7.165";"7.102";"6.974";"6.875";"6.706";"6.551";"6.426";"6.313";"6.177";"6.074";"5.950";"5.878";"5.807";"5.778";"5.737";"5.708"
"15041 Laracha, A";"10.701";"10.666";"10.683";"10.782";"10.800";"10.806";"10.803";"10.871";"11.079";"11.171";"11.213";"11.337";"11.367";"11.375";"11.443";"11.402";"11.295";"11.281";"11.302";"11.347";"11.406";"11.521";"11.505";"11.525";"11.603";"11.773"
"15040 Laxe";"3.551";"3.575";"3.557";"3.544";"3.558";"3.539";"3.489";"3.453";"3.434";"3.413";"3.417";"3.366";"3.313";"3.267";"3.207";"3.185";"3.148";"3.090";"3.084";"3.016";"2.990";"3.004";"2.977";"2.944";"2.920";"2.881"
"15043 Malpica de Bergantiños";"7.262";"7.172";"7.070";"6.944";"6.890";"6.786";"6.567";"6.432";"6.320";"6.228";"6.178";"6.102";"5.998";"5.875";"5.768";"5.666";"5.616";"5.518";"5.447";"5.391";"5.352";"5.332";"5.296";"5.263";"5.283";"5.247"
"15068 Ponteceso";"7.155";"7.118";"7.019";"6.880";"6.810";"6.698";"6.588";"6.494";"6.381";"6.302";"6.215";"6.134";"6.065";"5.964";"5.893";"5.789";"5.703";"5.613";"5.565";"5.502";"5.497";"5.457";"5.429";"5.391";"5.303";"5.260"
